"","res","",""
"1103","746","4","1111"
"1104","746","4","1111"
"1105","746","4","0111"
"1106","747","3","0"
"1107","747","4","0"
"1108","747","6","111000"
"1109","747","7","1111111"
"1110","748","5","1111"
"1111","748","5","11111"
"1112","748","6","111111"
"1113","748","6","111111"
"1114","748","4","1110"
"1115","748","3","111"
"1116","748","3","110"
"1117","748","3","111"
"1118","748","7","1111011"
"1119","748","7","1111111"
"1120","749","4","1"
"1121","749","5","11111"
"1122","749","5","11111"
"1123","749","4","1011"
"1124","749","5","10111"
"1125","749","7","1111111"
"1126","749","6","111110"
"1127","749","7","1111111"
"1128","749","7","1111111"
"1129","749","6","111111"
"1130","749","5","11101"
"1131","749","5","11111"
"1132","749","4","1111"
"1133","749","4","0000"
"1134","749","3","101"
"1135","749","3","111"
"1136","750","4","0111"
"1137","750","8","10111111"
"1138","750","6","111111"
"1139","750","5","11111"
"1140","750","4","1111"
"1141","750","3","111"
"1142","751","5","11111"
"1143","751","3","000"
"1144","751","7","0111111"
"1145","751","7","1111111"
"1146","751","7","1111111"
"1147","751","7","0011111"
"1148","751","6","111111"
"1149","751","6","111111"
"1150","751","6","111111"
"1151","751","6","111111"
"1152","751","6","111111"
"1153","751","6","111111"
"1154","752","6","010011"
"1155","752","4","1011"
"1156","752","3","111"
"1157","752","7","1111111"
"1158","752","4","1111"
"1159","753","3","11"
"1160","753","5","11111"
"1161","753","3","111"
"1162","753","4","1111"
"1163","753","3","111"
"1164","754","3","1"
"1165","754","4","1"
"1166","754","4","1"
"1167","754","5","1"
"1168","754","5","1"
"1169","754","5","1"
"1170","754","4","1111"
"1171","754","4","1111"
"1172","754","4","0111"
"1173","754","4","0111"
"1174","754","3","111"
"1175","754","4","1111"
"1176","754","3","111"
"1177","754","5","11111"
"1178","754","4","1111"
"1179","755","4","11"
"1180","755","4","11"
"1181","755","7","0111010"
"1182","756","6","111111"
"1183","756","6","111111"
"1184","756","4","1111"
"1185","756","5","11111"
"1186","756","6","111111"
"1187","756","6","111111"
"1188","756","6","111111"
"1189","756","6","111100"
"1190","756","5","11111"
"1191","756","5","10001"
"1192","756","5","11000"
"1193","756","6","110000"
"1194","756","5","11111"
"1195","756","6","111111"
"1196","756","4","0111"
"1197","756","7","1111111"
"1198","756","5","10101"
"1199","756","5","11111"
"1200","756","6","111111"
"1201","757","4","1"
"1202","757","4","1"
"1203","757","5","1"
"1204","757","5","1"
"1205","757","8","11111111"
"1206","757","5","11111"
"1207","757","4","1111"
"1208","757","4","1111"
"1209","757","3","111"
"1210","758","4","1111"
"1211","758","5","11111"
"1212","758","7","1111111"
"1213","758","5","00000"
"1214","758","10","1111111111"
"1215","758","10","1111111111"
"1216","758","9","111111111"
"1217","758","12","111111111111"
"1218","758","3","011"
"1219","758","3","111"
"1220","759","5","1"
"1221","759","5","11111"
"1222","759","4","1111"
"1223","759","4","1111"
"1224","759","5","11111"
"1225","759","5","11111"
